title,type,genres1,genres2,genres3,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries1
The Fifth Element,movie,Action, Adventure, Sci-Fi,1997,tt0119116,7.6,517121,AT
Kill Bill: Vol. 1,movie,Action, Crime, Thriller,2003,tt0266697,8.2,1221791,AE
Jarhead,movie,Biography, Drama, War,2005,tt0418763,7,211547,AD
Eternal Sunshine of the Spotless Mind,movie,Drama, Romance, Sci-Fi,2004,tt0338013,8.3,1103711,AD
A History of Violence,movie,Action, Crime, Drama,2005,tt0399146,7.4,258997,AD
Talk to Her,movie,Drama, Mystery, Romance,2002,tt0287467,7.9,118711,AG
Paradise Now,movie,Crime, Drama, Thriller,2005,tt0445620,7.4,24303,AE
War of the Worlds,movie,Action, Adventure, Sci-Fi,2005,tt0407304,6.5,482841,AG
Hero,movie,Action, Adventure, Drama,2002,tt0299977,7.9,189191,HK
Nausicaä of the Valley of the Wind,movie,Adventure, Animation, Sci-Fi,1984,tt0087544,8,186768,AD
Dirty Dancing,movie,Drama, Music, Romance,1987,tt0092890,7.1,263244,CA
Beverly Hills Cop,movie,Action, Comedy, Crime,1984,tt0086960,7.4,219776,IT
Beverly Hills Cop II,movie,Action, Comedy, Crime,1987,tt0092644,6.6,141058,IT
Gladiator,movie,Action, Adventure, Drama,2000,tt0172495,8.5,1670968,CA
All About My Mother,movie,Comedy, Drama, Romance,1999,tt0185125,7.8,104743,ES
"Lock, Stock and Two Smoking Barrels",movie,Action, Comedy, Crime,1998,tt0120735,8.1,625462,BE
Léon: The Professional,movie,Action, Crime, Drama,1994,tt0110413,8.5,1272906,CA
Run Lola Run,movie,Action, Crime, Thriller,1998,tt0130827,7.6,210445,AT
Italian for Beginners,movie,Comedy, Drama, Romance,2000,tt0243862,7,14044,DK
Charlie and the Chocolate Factory,movie,Adventure, Comedy, Family,2005,tt0367594,6.7,540431,AD
The Lord of the Rings: The Fellowship of the Ring,movie,Action, Adventure, Drama,2001,tt0120737,8.9,2056157,CH
The Lord of the Rings: The Two Towers,movie,Action, Adventure, Drama,2002,tt0167261,8.8,1826836,CH
The Lord of the Rings: The Return of the King,movie,Action, Adventure, Drama,2003,tt0167260,9,2026332,CH
Princess Mononoke,movie,Action, Adventure, Animation,1997,tt0119698,8.3,445747,AD
Spirited Away,movie,Adventure, Animation, Family,2001,tt0245429,8.6,877732,AD
"O Brother, Where Art Thou?",movie,Comedy, Crime, Drama,2000,tt0190590,7.7,336353,AU
Groundhog Day,movie,Comedy, Drama, Fantasy,1993,tt0107048,8,699067,AD
